	Pt	T	Vf	Vm	Ach	Over	
	#	s	V vs. Ref.	V	V	bits	
	211	213.767	-1.92E-01	-1.92E-01	0.00E+00	...........	
	212	214.775	-1.92E-01	-1.92E-01	0.00E+00	...........	
	213	215.783	-1.92E-01	-1.92E-01	0.00E+00	...........	
	214	216.792	-1.92E-01	-1.92E-01	0.00E+00	...........	
	215	217.8	-1.92E-01	-1.92E-01	0.00E+00	...........	
	216	218.808	-1.92E-01	-1.92E-01	0.00E+00	...........	
	217	219.817	-1.92E-01	-1.92E-01	0.00E+00	...........	
	218	220.825	-1.92E-01	-1.92E-01	0.00E+00	...........	
	219	221.833	-1.92E-01	-1.92E-01	0.00E+00	...........	
	220	222.842	-1.92E-01	-1.92E-01	0.00E+00	...........	
	221	223.85	-1.92E-01	-1.92E-01	0.00E+00	...........	
	222	224.858	-1.92E-01	-1.92E-01	0.00E+00	...........	
	223	225.867	-1.92E-01	-1.92E-01	0.00E+00	...........	
	224	226.875	-1.92E-01	-1.92E-01	0.00E+00	...........	
	225	227.883	-1.92E-01	-1.92E-01	0.00E+00	...........	
	226	228.892	-1.92E-01	-1.91E-01	0.00E+00	...........	
	227	229.9	-1.92E-01	-1.91E-01	0.00E+00	...........	
	228	230.908	-1.92E-01	-1.91E-01	0.00E+00	...........	
	229	231.917	-1.91E-01	-1.91E-01	0.00E+00	...........	
	230	232.925	-1.91E-01	-1.91E-01	0.00E+00	...........	
	231	233.933	-1.91E-01	-1.91E-01	0.00E+00	...........	
	232	234.942	-1.91E-01	-1.91E-01	0.00E+00	...........	
	233	235.95	-1.91E-01	-1.91E-01	0.00E+00	...........	
	234	236.958	-1.91E-01	-1.91E-01	0.00E+00	...........	
	235	237.967	-1.91E-01	-1.91E-01	0.00E+00	...........	
	236	238.975	-1.91E-01	-1.91E-01	0.00E+00	...........	
	237	239.983	-1.91E-01	-1.91E-01	0.00E+00	...........	
	238	240.992	-1.91E-01	-1.91E-01	0.00E+00	...........	
	239	242	-1.91E-01	-1.91E-01	0.00E+00	...........	
	240	243.008	-1.91E-01	-1.91E-01	0.00E+00	...........	
	241	244.017	-1.91E-01	-1.91E-01	0.00E+00	...........	
	242	245.025	-1.91E-01	-1.91E-01	0.00E+00	...........	
	243	246.033	-1.91E-01	-1.91E-01	0.00E+00	...........	
	244	247.042	-1.91E-01	-1.91E-01	0.00E+00	...........	
	245	248.05	-1.91E-01	-1.91E-01	0.00E+00	...........	
	246	249.058	-1.91E-01	-1.91E-01	0.00E+00	...........	
	247	250.067	-1.91E-01	-1.91E-01	0.00E+00	...........	
	248	251.075	-1.91E-01	-1.91E-01	0.00E+00	...........	
	249	252.083	-1.91E-01	-1.90E-01	0.00E+00	...........	
	250	253.092	-1.91E-01	-1.90E-01	0.00E+00	...........	
	251	254.1	-1.91E-01	-1.90E-01	0.00E+00	...........	
	252	255.108	-1.90E-01	-1.90E-01	0.00E+00	...........	
	253	256.117	-1.90E-01	-1.90E-01	0.00E+00	...........	
	254	257.125	-1.90E-01	-1.90E-01	0.00E+00	...........	
	255	258.133	-1.90E-01	-1.90E-01	0.00E+00	...........	
	256	259.142	-1.90E-01	-1.90E-01	0.00E+00	...........	
	257	260.15	-1.90E-01	-1.90E-01	0.00E+00	...........	
	258	261.158	-1.90E-01	-1.90E-01	0.00E+00	...........	
	259	262.167	-1.90E-01	-1.90E-01	0.00E+00	...........	
	260	263.175	-1.90E-01	-1.90E-01	0.00E+00	...........	
	261	264.183	-1.90E-01	-1.90E-01	0.00E+00	...........	
	262	265.192	-1.90E-01	-1.90E-01	0.00E+00	...........	
	263	266.2	-1.90E-01	-1.90E-01	0.00E+00	...........	
	264	267.208	-1.90E-01	-1.90E-01	0.00E+00	...........	
	265	268.217	-1.90E-01	-1.90E-01	0.00E+00	...........	
	266	269.225	-1.90E-01	-1.90E-01	0.00E+00	...........	
	267	270.233	-1.90E-01	-1.90E-01	0.00E+00	...........	
	268	271.242	-1.90E-01	-1.90E-01	0.00E+00	...........	
	269	272.25	-1.90E-01	-1.90E-01	0.00E+00	...........	
	270	273.258	-1.90E-01	-1.90E-01	0.00E+00	...........	
	271	274.267	-1.90E-01	-1.90E-01	0.00E+00	...........	
	272	275.275	-1.90E-01	-1.89E-01	0.00E+00	...........	
	273	276.283	-1.90E-01	-1.89E-01	0.00E+00	...........	
	274	277.292	-1.90E-01	-1.89E-01	0.00E+00	...........	
	275	278.3	-1.89E-01	-1.89E-01	0.00E+00	...........	
	276	279.308	-1.89E-01	-1.89E-01	0.00E+00	...........	
	277	280.317	-1.89E-01	-1.89E-01	0.00E+00	...........	
	278	281.325	-1.89E-01	-1.89E-01	0.00E+00	...........	
	279	282.333	-1.89E-01	-1.89E-01	0.00E+00	...........	
	280	283.342	-1.89E-01	-1.89E-01	0.00E+00	...........	
	281	284.35	-1.89E-01	-1.89E-01	0.00E+00	...........	
	282	285.358	-1.89E-01	-1.89E-01	0.00E+00	...........	
	283	286.367	-1.89E-01	-1.89E-01	0.00E+00	...........	
	284	287.375	-1.89E-01	-1.89E-01	0.00E+00	...........	
	285	288.383	-1.89E-01	-1.89E-01	0.00E+00	...........	
	286	289.392	-1.89E-01	-1.89E-01	0.00E+00	...........	
	287	290.4	-1.89E-01	-1.89E-01	0.00E+00	...........	
	288	291.408	-1.89E-01	-1.89E-01	0.00E+00	...........	
	289	292.417	-1.89E-01	-1.89E-01	0.00E+00	...........	
	290	293.425	-1.89E-01	-1.89E-01	0.00E+00	...........	
	291	294.433	-1.89E-01	-1.89E-01	0.00E+00	...........	
	292	295.442	-1.89E-01	-1.89E-01	0.00E+00	...........	
	293	296.45	-1.89E-01	-1.89E-01	0.00E+00	...........	
	294	297.458	-1.89E-01	-1.89E-01	0.00E+00	...........	
	295	298.467	-1.89E-01	-1.89E-01	0.00E+00	...........	
	296	299.475	-1.89E-01	-1.89E-01	0.00E+00	...........	
	297	300.483	-1.89E-01	-1.88E-01	0.00E+00	...........	
	298	301.492	-1.89E-01	-1.88E-01	0.00E+00	...........	
	299	302.5	-1.89E-01	-1.88E-01	0.00E+00	...........	
	300	303.508	-1.88E-01	-1.88E-01	0.00E+00	...........	
	301	304.517	-1.88E-01	-1.88E-01	0.00E+00	...........	
	302	305.525	-1.88E-01	-1.88E-01	0.00E+00	...........	
	303	306.533	-1.88E-01	-1.88E-01	0.00E+00	...........	
	304	307.542	-1.88E-01	-1.88E-01	0.00E+00	...........	
	305	308.55	-1.88E-01	-1.88E-01	0.00E+00	...........	
	306	309.558	-1.88E-01	-1.88E-01	0.00E+00	...........	
	307	310.567	-1.88E-01	-1.88E-01	0.00E+00	...........	
	308	311.575	-1.88E-01	-1.88E-01	0.00E+00	...........	
	309	312.583	-1.88E-01	-1.88E-01	0.00E+00	...........	
	310	313.592	-1.88E-01	-1.88E-01	0.00E+00	...........	
	311	314.6	-1.88E-01	-1.88E-01	0.00E+00	...........	
	312	315.608	-1.88E-01	-1.88E-01	0.00E+00	...........	
	313	316.617	-1.88E-01	-1.88E-01	0.00E+00	...........	
	314	317.625	-1.88E-01	-1.88E-01	0.00E+00	...........	
	315	318.633	-1.88E-01	-1.88E-01	0.00E+00	...........	
	316	319.642	-1.88E-01	-1.88E-01	0.00E+00	...........	
	317	320.65	-1.88E-01	-1.88E-01	0.00E+00	...........	
	318	321.658	-1.88E-01	-1.88E-01	0.00E+00	...........	
	319	322.667	-1.88E-01	-1.88E-01	0.00E+00	...........	
	320	323.675	-1.88E-01	-1.88E-01	0.00E+00	...........	
	321	324.683	-1.88E-01	-1.88E-01	0.00E+00	...........	
	322	325.692	-1.88E-01	-1.88E-01	0.00E+00	...........	
	323	326.7	-1.88E-01	-1.87E-01	0.00E+00	...........	
	324	327.708	-1.88E-01	-1.87E-01	0.00E+00	...........	
	325	328.717	-1.88E-01	-1.87E-01	0.00E+00	...........	
	326	329.725	-1.87E-01	-1.87E-01	0.00E+00	...........	
	327	330.733	-1.87E-01	-1.87E-01	0.00E+00	...........	
	328	331.742	-1.87E-01	-1.87E-01	0.00E+00	...........	
